winning_party_alliance,id
Блок ХДС/ХСС,138
Блок ХДС/ХСС,139
Блок ХДС/ХСС,140
Блок ХДС/ХСС,141
Блок ХДС/ХСС,142
Блок ХДС/ХСС,143
Блок ХДС/ХСС,144
Блок ХДС/ХСС,145
Блок ХДС/ХСС,146
Блок ХДС/ХСС,147
Блок ХДС/ХСС,148
Блок ХДС/ХСС,149
Блок ХДС/ХСС,150
Блок ХДС/ХСС,151
Блок ХДС/ХСС,152
Блок ХДС/ХСС,153
Блок ХДС/ХСС,154
Блок ХДС/ХСС,155
Блок ХДС/ХСС,156
Блок ХДС/ХСС,157
Блок ХДС/ХСС,158
Блок ХДС/ХСС,159
Блок ХДС/ХСС,160
Блок ХДС/ХСС,161
Блок ХДС/ХСС,162
Блок ХДС/ХСС,163
Блок ХДС/ХСС,164
Блок ХДС/ХСС,165
Блок ХДС/ХСС,166
Блок ХДС/ХСС,167
Блок ХДС/ХСС,168
Блок ХДС/ХСС,169
Блок ХДС/ХСС,170
Блок ХДС/ХСС,171
Блок ХДС/ХСС,172
Блок ХДС/ХСС,173
Блок ХДС/ХСС,174
Блок ХДС/ХСС,175
Блок ХДС/ХСС,176
Блок ХДС/ХСС,177
Блок ХДС/ХСС,178
Блок ХДС/ХСС,179
Блок ХДС/ХСС,180
Блок ХДС/ХСС,181
Блок ХДС/ХСС,182
Блок ХДС/ХСС,183
Блок ХДС/ХСС,184
Блок ХДС/ХСС,185
Блок ХДС/ХСС,186
Блок ХДС/ХСС,187
Блок ХДС/ХСС,188
Блок ХДС/ХСС,189
Блок ХДС/ХСС,190
Блок ХДС/ХСС,191
Блок ХДС/ХСС,192
Блок ХДС/ХСС,193
Блок ХДС/ХСС,194
Блок ХДС/ХСС,195
Блок ХДС/ХСС,196
Зеленые,1
Зеленые,2
Зеленые,3
Зеленые,4
Зеленые,5
Зеленые,6
Зеленые,7
Зеленые,8
Зеленые,9
Зеленые,10
Зеленые,11
Зеленые,12
Зеленые,13
Зеленые,14
Зеленые,15
Зеленые,16
Зеленые,17
Зеленые,18
Зеленые,19
Зеленые,20
Зеленые,21
Зеленые,22
Зеленые,23
Зеленые,24
Зеленые,25
Зеленые,26
Зеленые,27
Зеленые,28
Зеленые,29
Зеленые,30
Зеленые,31
Зеленые,32
Зеленые,33
Зеленые,34
Зеленые,35
Зеленые,36
Зеленые,37
Зеленые,38
Зеленые,39
Зеленые,40
Зеленые,41
Зеленые,42
Зеленые,43
Зеленые,44
Зеленые,45
Зеленые,46
Зеленые,47
Зеленые,48
Зеленые,49
Зеленые,50
Зеленые,51
Зеленые,52
Зеленые,53
Зеленые,54
Зеленые,55
Зеленые,56
Зеленые,57
Зеленые,58
Зеленые,59
Зеленые,60
Зеленые,61
Зеленые,62
Зеленые,63
Зеленые,64
Зеленые,65
Зеленые,66
Зеленые,67
Зеленые,68
Зеленые,69
Зеленые,70
Зеленые,71
Зеленые,72
Зеленые,73
Зеленые,74
Зеленые,75
Зеленые,76
Зеленые,77
Зеленые,78
Зеленые,79
Зеленые,80
Зеленые,81
Зеленые,82
Зеленые,83
Зеленые,84
Зеленые,85
Зеленые,86
Зеленые,87
Зеленые,88
Зеленые,89
Зеленые,90
Зеленые,91
Зеленые,92
Зеленые,93
Зеленые,94
Зеленые,95
Зеленые,96
Зеленые,97
Зеленые,98
Зеленые,99
Зеленые,100
Зеленые,101
Зеленые,102
Зеленые,103
Зеленые,104
Зеленые,105
Зеленые,106
Зеленые,107
Зеленые,108
Зеленые,109
Зеленые,110
Зеленые,111
Зеленые,112
Зеленые,113
Зеленые,114
Зеленые,115
Зеленые,116
Зеленые,117
Зеленые,118
Свободная демократическая партия,1
Свободная демократическая партия,2
Свободная демократическая партия,3
Свободная демократическая партия,4
Свободная демократическая партия,5
Свободная демократическая партия,6
Свободная демократическая партия,7
Свободная демократическая партия,8
Свободная демократическая партия,9
Свободная демократическая партия,10
Свободная демократическая партия,11
Свободная демократическая партия,12
Свободная демократическая партия,13
Свободная демократическая партия,14
Свободная демократическая партия,15
Свободная демократическая партия,16
Свободная демократическая партия,17
Свободная демократическая партия,18
Свободная демократическая партия,19
Свободная демократическая партия,20
Свободная демократическая партия,21
Свободная демократическая партия,22
Свободная демократическая партия,23
Свободная демократическая партия,24
Свободная демократическая партия,25
Свободная демократическая партия,26
Свободная демократическая партия,27
Свободная демократическая партия,28
Свободная демократическая партия,29
Свободная демократическая партия,30
Свободная демократическая партия,31
Свободная демократическая партия,32
Свободная демократическая партия,33
Свободная демократическая партия,34
Свободная демократическая партия,35
Свободная демократическая партия,36
Свободная демократическая партия,37
Свободная демократическая партия,38
Свободная демократическая партия,39
Свободная демократическая партия,40
Свободная демократическая партия,41
Свободная демократическая партия,42
Свободная демократическая партия,43
Свободная демократическая партия,44
Свободная демократическая партия,45
Свободная демократическая партия,46
Свободная демократическая партия,47
Свободная демократическая партия,48
Свободная демократическая партия,49
Свободная демократическая партия,50
Свободная демократическая партия,51
Свободная демократическая партия,52
Свободная демократическая партия,53
Свободная демократическая партия,54
Свободная демократическая партия,55
Свободная демократическая партия,56
Свободная демократическая партия,57
Свободная демократическая партия,58
Свободная демократическая партия,59
Свободная демократическая партия,60
Свободная демократическая партия,61
Свободная демократическая партия,62
Свободная демократическая партия,63
Свободная демократическая партия,64
Свободная демократическая партия,65
Свободная демократическая партия,66
Свободная демократическая партия,67
Свободная демократическая партия,68
Свободная демократическая партия,69
Свободная демократическая партия,70
Свободная демократическая партия,71
Свободная демократическая партия,72
Свободная демократическая партия,73
Свободная демократическая партия,74
Свободная демократическая партия,75
Свободная демократическая партия,76
Свободная демократическая партия,77
Свободная демократическая партия,78
Свободная демократическая партия,79
Свободная демократическая партия,80
Свободная демократическая партия,81
Свободная демократическая партия,82
Свободная демократическая партия,83
Свободная демократическая партия,84
Свободная демократическая партия,85
Свободная демократическая партия,86
Свободная демократическая партия,87
Свободная демократическая партия,88
Свободная демократическая партия,89
Свободная демократическая партия,90
Свободная демократическая партия,91
Свободная демократическая партия,92
Альтернатива для Германии,1
Альтернатива для Германии,2
Альтернатива для Германии,3
Альтернатива для Германии,4
Альтернатива для Германии,5
Альтернатива для Германии,6
Альтернатива для Германии,7
Альтернатива для Германии,8
Альтернатива для Германии,9
Альтернатива для Германии,10
Альтернатива для Германии,11
Альтернатива для Германии,12
Альтернатива для Германии,13
Альтернатива для Германии,14
Альтернатива для Германии,15
Альтернатива для Германии,16
Альтернатива для Германии,17
Альтернатива для Германии,18
Альтернатива для Германии,19
Альтернатива для Германии,20
Альтернатива для Германии,21
Альтернатива для Германии,22
Альтернатива для Германии,23
Альтернатива для Германии,24
Альтернатива для Германии,25
Альтернатива для Германии,26
Альтернатива для Германии,27
Альтернатива для Германии,28
Альтернатива для Германии,29
Альтернатива для Германии,30
Альтернатива для Германии,31
Альтернатива для Германии,32
Альтернатива для Германии,33
Альтернатива для Германии,34
Альтернатива для Германии,35
Альтернатива для Германии,36
Альтернатива для Германии,37
Альтернатива для Германии,38
Альтернатива для Германии,39
Альтернатива для Германии,40
Альтернатива для Германии,41
Альтернатива для Германии,42
Альтернатива для Германии,43
Альтернатива для Германии,44
Альтернатива для Германии,45
Альтернатива для Германии,46
Альтернатива для Германии,47
Альтернатива для Германии,48
Альтернатива для Германии,49
Альтернатива для Германии,50
Альтернатива для Германии,51
Альтернатива для Германии,52
Альтернатива для Германии,53
Альтернатива для Германии,54
Альтернатива для Германии,55
Альтернатива для Германии,56
Альтернатива для Германии,57
Альтернатива для Германии,58
Альтернатива для Германии,59
Альтернатива для Германии,60
Альтернатива для Германии,61
Альтернатива для Германии,62
Альтернатива для Германии,63
Альтернатива для Германии,64
Альтернатива для Германии,65
Альтернатива для Германии,66
Альтернатива для Германии,67
Альтернатива для Германии,68
Альтернатива для Германии,69
Альтернатива для Германии,70
Альтернатива для Германии,71
Альтернатива для Германии,72
Альтернатива для Германии,73
Альтернатива для Германии,74
Альтернатива для Германии,75
Альтернатива для Германии,76
Альтернатива для Германии,77
Альтернатива для Германии,78
Альтернатива для Германии,79
Альтернатива для Германии,80
Альтернатива для Германии,81
Альтернатива для Германии,82
Альтернатива для Германии,83
Левые,1
Левые,2
Левые,3
Левые,4
Левые,5
Левые,6
Левые,7
Левые,8
Левые,9
Левые,10
Левые,11
Левые,12
Левые,13
Левые,14
Левые,15
Левые,16
Левые,17
Левые,18
Левые,19
Левые,20
Левые,21
Левые,22
Левые,23
Левые,24
Левые,25
Левые,26
Левые,27
Левые,28
Левые,29
Левые,30
Левые,31
Левые,32
Левые,33
Левые,34
Левые,35
Левые,36
Левые,37
Левые,38
Левые,39
Союз избирателей Южного Шлезвига,1
