patient_age_group,registration_area,registration_settlement,lat,lng,registration_settlement_id,per1000
2553,ТЕРНОПІЛЬСЬКА,КРЕМЕНЕЦЬ,50.1162559,25.6930064,set367,122.58
1037,ЧЕРНІГІВСЬКА,БАХМАЧ,51.1825518,32.8231929,set369,59.56
612,ІВАНО-ФРАНКІВСЬКА,ТЛУМАЧ,48.8702997,24.9941214,set371,69.51
487,ЛЬВІВСЬКА,ГОРОДОК,49.7859483,23.6519408,set372,30.12
388,КИЇВСЬКА,ЗГУРІВКА,50.4837972,31.7917805,set373,77.99
467,ЛЬВІВСЬКА,ЯВОРІВ,49.9416106,23.388372,set374,36.07
2384,КИЇВСЬКА,БРОВАРИ,50.5113172,30.7656228,set375,22.0
78,ЧЕРНІВЕЦЬКА,ПУТИЛА,48.0032475,25.0822771,set376,22.79
12,ЖИТОМИРСЬКА,ІРШАНСЬК,50.7511658,28.7271202,set378,1.84
1177,ВІННИЦЬКА,ІЛЛІНЦІ,49.1156880,29.196032,set379,104.91
2366,РІВНЕНСЬКА,ВАРАШ,51.3506043,25.8554167,set380,56.01
119,КІРОВОГРАДСЬКА,ПОМІЧНА,48.2465578,31.4060472,set381,13.41
183,РІВНЕНСЬКА,КЛЕСІВ,51.3157463,26.895772,set382,39.49
1258,ПОЛТАВСЬКА,ВЕЛИКА БАГАЧКА,49.7898411,33.7227175,set383,232.75
